handle,id,text,created_at,likes,retweets,url
ShahBalen,2079489463831650494,निजी शिक्षा र स्वास्थ्य क्षेत्रमा लगाइएको ३% समता कर अहिले भने बमोजिम नै कार्यान्वयन गर्दा आममानिसले थप खर्च र निराशा भोग्नु पर्ने देखियो यसैले माननीय अर्थमन्त्री स्वर्णिम वाग्लेसँगको परामर्शपछि हालका लागि शिक्षा समता शुल्क र स्वास्थ्य समता शुल्क लागू नगर्ने निर्णय गरिएको छ । https://t.co/S3eBgk0SlF,Tue Jul 21 08:51:37 +0000 2026,1832,229,https://x.com/ShahBalen/status/2079489463831650494
ShahBalen,2068338604640985505,ललितपुरमा मनाइने भोटोजात्रा !! https://t.co/mQ6oaVXoK9,Sat Jun 20 14:22:05 +0000 2026,2265,133,https://x.com/ShahBalen/status/2068338604640985505
ShahBalen,2068197406488027550,"MAKALU BASE CAMP TREK 

Makalu Barun Valley is a remote Himalayan paradise in eastern Nepal, known for its breathtaking landscapes, rich biodiversity, and spectacular mountain scenery. 

Trek Overview

Duration: 17-18 Days
Maximum Altitude: 4,870m (Makalu Base Camp)
Region: https://t.co/CIE1lYYCgF",Sat Jun 20 05:01:01 +0000 2026,3256,489,https://x.com/ShahBalen/status/2068197406488027550
ShahBalen,2066168158403403978,"PM , HM , IM :) https://t.co/JqsC80BeyE",Sun Jun 14 14:37:31 +0000 2026,5221,283,https://x.com/ShahBalen/status/2066168158403403978
ShahBalen,2055948372129771914,"World record 32 times Mount Everest climb.
विश्वको सर्वोच्च शिखर सगरमाथा केवल एउटा भौगोलिक उचाइको अवयव मात्रै होइन, नेपालको आत्मसम्मान, साहस, धैर्य र हिमाली सभ्यताको सर्वोच्च प्रतीक हो। यही गौरवशाली हिमालमाथि आज नेपाली आरोहीहरूले पुनः इतिहास लेखेका छन्।

विश्वविख्यात आरोही कामी https://t.co/y6zVcj39X9",Sun May 17 09:47:44 +0000 2026,3257,367,https://x.com/ShahBalen/status/2055948372129771914
ShahBalen,2055562375223501189,"Say Cheese

DDC ko Cheese https://t.co/vWQFvsOFoV",Sat May 16 08:13:55 +0000 2026,5950,514,https://x.com/ShahBalen/status/2055562375223501189
ShahBalen,2051506575588852104,"धेरै पत्रकार, नेता, अभियन्ता, व्यापारी र आम जनताले वर्षौंदेखि एउटै कुरा भन्दै आएका छन्“विद्यार्थी र कर्मचारीतन्त्रलाई पार्टीकरणले बिगार्‍यो।” वर्षौंदेखि धेरै संगठन विद्यार्थी र कर्मचारीको हितभन्दा बढी दलका “स्लिपर सेल” बने।योग्यता भन्दा पहुँच, क्षमता भन्दा झोला र झण्डाको मूल्य",Tue May 05 03:37:37 +0000 2026,3432,621,https://x.com/ShahBalen/status/2051506575588852104
ShahBalen,2051143466277818515,काठमाडौँ उपत्यकाका नदीकिनार तथा सरकारी स्वामित्वमा रहेका जग्गामा अवाञ्छित रूपमा अतिक्रमण भएको स्पष्ट भएका क्षेत्रहरूमा नेपाल सरकारले कानुनबमोजिम अघि बढाएको व्यवस्थापन प्रक्रियाका विषयमा विभिन्न टिप्पणी तथा व्याख्या सार्वजनिक भइरहेका प्रति सरकारको ध्यानाकर्षण भएको छ। उक्त,Mon May 04 03:34:45 +0000 2026,2779,445,https://x.com/ShahBalen/status/2051143466277818515
ShahBalen,2050070598173548852,"बुद्धले भन्नुभयो “दुःख छ, दुःखको कारण छ, दुःखको निवारण छ, दुःख निवारण गर्ने मार्ग छ।”
बुद्धले देखाउनुभएको बाटो दुःख निवारणको बाटो हो। उज्यालोको अभाव नै अँध्यारो हो; जतिबेला उज्यालोको किरणले पाइला टेक्छ, अँध्यारो स्वतः बिलाएर जान्छ। हाम्रो यात्रा त्यस्तै ज्ञानको उज्यालोको खोजमा https://t.co/vvwrHJNgUr",Fri May 01 04:31:33 +0000 2026,4632,619,https://x.com/ShahBalen/status/2050070598173548852
ShahBalen,2047639055240933617,"बिर्सनुभयो कि सम्झनुहुन्छ, हरेक वर्षको बाढीका कारण काठमाडौँका नदीकिनारमा रहेका हजारौँ मानिस ज्यान मात्र जोगाएर आफ्ना सबै सामान छोड्दै भाग्नुपरेको अनि सरकारले उद्धार गर्नुपरेको दृश्य!

यो वर्षौँदेखिको समस्या हो र हरेक वर्ष दोहोरिने नियति पनि। यो समस्यालाई अब आउने वर्षका लागि थाती https://t.co/y6EDlDbZ1C",Fri Apr 24 11:29:28 +0000 2026,3242,603,https://x.com/ShahBalen/status/2047639055240933617
ShahBalen,2046603425518137754,"The God of Rain, from Assam to Lalitpur: 

आजबाट उपत्यकाको सबैभन्दा लामो र ऐतिहासिक जात्रा-रातो मच्छिन्द्रनाथ जात्रा सुरु भएको छ। 
पाटनको पुल्चोकबाट आरम्भ हुने यो भव्य जात्रामा सहकालका देवता रातो मच्छिन्द्रनाथलाई रथमा विराजमान गराई शहरका विभिन्न ठाउँमा घुमाइन्छ। करिब दुई https://t.co/nIy0qrBuke",Tue Apr 21 14:54:15 +0000 2026,3108,338,https://x.com/ShahBalen/status/2046603425518137754
ShahBalen,2045044252275810597,:) https://t.co/cW49uQgPDG,Fri Apr 17 07:38:39 +0000 2026,5245,209,https://x.com/ShahBalen/status/2045044252275810597
ShahBalen,2044974129049489875,"“जननी जन्मभूमिश्च स्वर्गादपि गरीयसी”
माता र मातृभूमि स्वर्गभन्दा पनि महान् हुन्छन्। 

माताको काख न्यानो, चरण तीर्थजस्तै पवित्र। मातातीर्थ औँसीको यस पावन अवसरमा माया र त्यागको अनुपम उदाहरण बनिरहने सृष्टिकी मुहान सम्पूर्ण आमाहरूप्रति हार्दिक सम्मान, कृतज्ञता र नमन व्यक्त गर्दछु।",Fri Apr 17 03:00:00 +0000 2026,3656,390,https://x.com/ShahBalen/status/2044974129049489875
ShahBalen,2043861294584046060,"सर्वे भवन्तु सुखिनः सर्वे सन्तु निरामयाः।
सर्वे भद्राणि पश्यन्तु, मा कश्चिद् दुःखभाग् भवेत्॥

हामी सबैको जीवनमा सुख, आरोग्य र कल्याण छाओस्।
सदैव शुभ होस्, निर्विघ्नता रहोस् र दुःखको हरण होस्।
नयाँ वर्ष २०८३ को शुभारम्भको यस पावन अवसरमा सम्पूर्णमा सुख, शान्ति र समृद्धिको हार्दिक",Tue Apr 14 01:18:00 +0000 2026,6490,621,https://x.com/ShahBalen/status/2043861294584046060
ShahBalen,2037164533366878464,"Jay Mahakaali Out Now :)

https://t.co/XXTnFRVMjT",Thu Mar 26 13:47:28 +0000 2026,8059,933,https://x.com/ShahBalen/status/2037164533366878464
ShahBalen,2032447010582974912,https://t.co/9FpcczZxBQ,Fri Mar 13 13:21:43 +0000 2026,4963,284,https://x.com/ShahBalen/status/2032447010582974912
ShahBalen,2029522914585047263,"हजुरको नेतृत्वमा आज लोकतन्त्रले जितेको छ ।

#आमा https://t.co/bh7yYgwjOi",Thu Mar 05 11:42:24 +0000 2026,6978,463,https://x.com/ShahBalen/status/2029522914585047263
ShahBalen,2029380927437324462,"मैले त मेरो मत अधिकार प्रयोग गरे ।
अनि तपाइँले नि ? https://t.co/JcUr2qbjXM",Thu Mar 05 02:18:11 +0000 2026,4840,256,https://x.com/ShahBalen/status/2029380927437324462
ShahBalen,2028517473683902902,https://t.co/IJbt5Pj7Gx,Mon Mar 02 17:07:08 +0000 2026,4641,346,https://x.com/ShahBalen/status/2028517473683902902
ShahBalen,2027398937779515865,❤ https://t.co/e4ZtKJR9Br,Fri Feb 27 15:02:28 +0000 2026,3905,192,https://x.com/ShahBalen/status/2027398937779515865
ShahBalen,2022869582038606038,"हर हर महादेव।।

धर्मो रक्षति रक्षितः https://t.co/OXZ1mtjDu0",Sun Feb 15 03:04:26 +0000 2026,6250,809,https://x.com/ShahBalen/status/2022869582038606038
ShahBalen,2022285493745136086,"एउटा देश , एउटा नेपाल ।

आज गोर्खा दरबार । https://t.co/Tl4sdUvhSs",Fri Feb 13 12:23:28 +0000 2026,3498,172,https://x.com/ShahBalen/status/2022285493745136086
ShahBalen,2020324339707711685,https://t.co/vATI4LrXTh,Sun Feb 08 02:30:33 +0000 2026,2211,119,https://x.com/ShahBalen/status/2020324339707711685
ShahBalen,2013466291621793858,https://t.co/nqC07OZoFv,Tue Jan 20 04:19:06 +0000 2026,4397,339,https://x.com/ShahBalen/status/2013466291621793858
ShahBalen,2011987086921072762,https://t.co/GM3Cm7RVDq,Fri Jan 16 02:21:17 +0000 2026,1656,170,https://x.com/ShahBalen/status/2011987086921072762
ShahBalen,2010381897281765645,"शुभकामना सबैलाई !!

हामी आउँदै छौं !! https://t.co/IgMKCSUuo0",Sun Jan 11 16:02:50 +0000 2026,3284,230,https://x.com/ShahBalen/status/2010381897281765645
ShahBalen,2010202831266165244,"""घुस लिन्या र घुस दिन्या दुबै राष्ट्रका शत्रु हुन्""

राष्ट्रिय एकता दिवसको सुभकामना । https://t.co/OxWlwCgyCN",Sun Jan 11 04:11:17 +0000 2026,3037,282,https://x.com/ShahBalen/status/2010202831266165244
ShahBalen,2005655453251113287,म नेपाल हासेको हेर्न चहान्छु । https://t.co/3MD1cIzllv,Mon Dec 29 15:01:37 +0000 2025,4228,426,https://x.com/ShahBalen/status/2005655453251113287
ShahBalen,2003318779435217389,"१६औँ शताब्दीको इखा पुखु (इखा पोखरी) को भौतिक प्रगति ७० प्रतिशत नाघिसकेको छ। ३ करोड ६४ लाख रुपैयाँभन्दा बढी लागतमा पुनर्निर्माण भइरहेको यो पोखरीको कुल क्षेत्रफल करिब साढे ७ रोपनी छ, जसमध्ये ५ रोपनी क्षेत्र पानी भर्नका लागि छुट्याइएको छ। https://t.co/usKrLKB9VP",Tue Dec 23 04:16:31 +0000 2025,1361,101,https://x.com/ShahBalen/status/2003318779435217389
ShahBalen,1991353804974121470,सार्वजनिक जग्गा अतिक्रमबाट फिर्ता लिएर स्पोर्ट पार्क निर्माण https://t.co/Iaf90AyUZa,Thu Nov 20 03:51:59 +0000 2025,1581,144,https://x.com/ShahBalen/status/1991353804974121470
ShahBalen,1988953825089318995,Khulla Manch :) https://t.co/H5ko9rPASN,Thu Nov 13 12:55:19 +0000 2025,2137,197,https://x.com/ShahBalen/status/1988953825089318995
ShahBalen,1983508809441222943,https://t.co/Ai2USn4DMD,Wed Oct 29 12:18:46 +0000 2025,685,53,https://x.com/ShahBalen/status/1983508809441222943
ShahBalen,1980977122593427819,https://t.co/cR46XXbu6A,Wed Oct 22 12:38:45 +0000 2025,2350,295,https://x.com/ShahBalen/status/1980977122593427819
ShahBalen,1979748065100931084,62 High Mast Lights installed Around KTM. https://t.co/34uBoQoi93,Sun Oct 19 03:14:55 +0000 2025,1609,103,https://x.com/ShahBalen/status/1979748065100931084
ShahBalen,1978798067236426070,https://t.co/GoM16IKwHO,Thu Oct 16 12:19:58 +0000 2025,860,85,https://x.com/ShahBalen/status/1978798067236426070
ShahBalen,1978073681302593629,https://t.co/Sb4aTnntYQ,Tue Oct 14 12:21:31 +0000 2025,723,76,https://x.com/ShahBalen/status/1978073681302593629
ShahBalen,1977738481502769492,https://t.co/EHJgw6o8Cq,Mon Oct 13 14:09:33 +0000 2025,1834,163,https://x.com/ShahBalen/status/1977738481502769492
ShahBalen,1977347455961170109,"लिंक: https://t.co/1jQeuGyhxf
थप जानकारीको लागि: शहरी योजना आयोगको सचिवालय, विवेक बास्तोला- ९८४८०१८२१५ मा सम्पर्क गर्न सक्नुहुन्छ। https://t.co/1wLkDfWDma",Sun Oct 12 12:15:45 +0000 2025,667,79,https://x.com/ShahBalen/status/1977347455961170109
ShahBalen,1976623479291273688,https://t.co/xNUi8REC2S,Fri Oct 10 12:18:56 +0000 2025,798,75,https://x.com/ShahBalen/status/1976623479291273688
ShahBalen,1976262171215659163,https://t.co/AYLAP7HviM,Thu Oct 09 12:23:13 +0000 2025,753,51,https://x.com/ShahBalen/status/1976262171215659163
ShahBalen,1975899055160172955,https://t.co/T5VuXwfBGY,Wed Oct 08 12:20:19 +0000 2025,707,49,https://x.com/ShahBalen/status/1975899055160172955
ShahBalen,1975537375272181942,https://t.co/v8wQG3DmeO,Tue Oct 07 12:23:08 +0000 2025,319,81,https://x.com/ShahBalen/status/1975537375272181942
ShahBalen,1974709481763409956,काठमाडौं महानगरपालिका–१४ कोहिनुर हाउजिङसँगै मनुमति खोलाले सडक कटान गरी घरमा क्षति पुर्‍याउने देखिएकाले महानगर प्रहरी बलबाट कटान रोकथामका प्रयासहरू भइरहेको छ । https://t.co/NDXHbEzLsS,Sun Oct 05 05:33:23 +0000 2025,833,50,https://x.com/ShahBalen/status/1974709481763409956
ShahBalen,1974472102582583389,https://t.co/jgFxiuA6zq,Sat Oct 04 13:50:07 +0000 2025,176,12,https://x.com/ShahBalen/status/1974472102582583389
ShahBalen,1974325506746302693,"हेल्पलाइन नम्बरहरू:
📞 १६६००१०५५११ 
 📞 015901764
 📞 015901763 (KMC Police) https://t.co/SeYgBI4WKR",Sat Oct 04 04:07:36 +0000 2025,976,194,https://x.com/ShahBalen/status/1974325506746302693
ShahBalen,1972275545691025781,https://t.co/S0whi9cR8t,Sun Sep 28 12:21:47 +0000 2025,1007,61,https://x.com/ShahBalen/status/1972275545691025781
ShahBalen,1971912612406600108,https://t.co/eS1QGOkbUX,Sat Sep 27 12:19:37 +0000 2025,936,67,https://x.com/ShahBalen/status/1971912612406600108
ShahBalen,1971549730791723402,https://t.co/dxVcikETP3,Fri Sep 26 12:17:40 +0000 2025,1193,95,https://x.com/ShahBalen/status/1971549730791723402
ShahBalen,1971030908347314211,https://t.co/HoLR62xjNy,Thu Sep 25 01:56:03 +0000 2025,844,61,https://x.com/ShahBalen/status/1971030908347314211
ShahBalen,1970826386941346265,https://t.co/1vxCgpJH7p,Wed Sep 24 12:23:21 +0000 2025,946,70,https://x.com/ShahBalen/status/1970826386941346265
ShahBalen,1970462981097169038,https://t.co/LMVceBOmgd,Tue Sep 23 12:19:18 +0000 2025,1365,89,https://x.com/ShahBalen/status/1970462981097169038
